T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
superboomfan,jaimehr,handles,rhubarb,0,2,0
kirbstomper,smurf,p21,c,nattybroh,0,2,0
superboomfan,jaimehr,p21,c,nattybroh,0,2,0
handles,rhubarb,kirbstomper,smurf,1,0,2
superboomfan,jaimehr,kirbstomper,smurf,0,2,0
p21,c,nattybroh,handles,rhubarb,0,2,1
isai,kerokeroppi,boogie!,pettanko-senpai,0,2,0
dusttin,daniels,hipstur,boomalready1,1,1,2
isai,kerokeroppi,hipstur,boomalready1,0,2,0
boogie!,pettanko-senpai,dusttin,daniels,1,0,2
isai,kerokeroppi,dusttin,daniels,0,2,0
hipstur,boomalready1,boogie!,pettanko-senpai,0,2,0
dext3r,mariguas,mantis toboggan,magnus combosen,0,0,-1
jason,tot,aces,sonicfuzz,0,2,0
dext3r,mariguas,aces,sonicfuzz,0,2,0
mantis toboggan,magnus combosen,jason,tot,1,-1,0
dext3r,mariguas,jason,tot,0,2,0
aces,sonicfuzz,mantis toboggan,magnus combosen,0,0,-1
tacos,jimmy joe,spaff,jimbot,0,2,0
bon,fig,mortech,multiball,0,2,0
tacos,jimmy joe,mortech,multiball,0,2,0
spaff,jimbot,bon,fig,1,1,2
tacos,jimmy joe,bon,fig,0,2,0
mortech,multiball,spaff,jimbot,0,2,0
darkhorse,bark the shark,ryhomiusmaximus,scaryman,0,2,0
madrush21,eggmode,astumpycow,astumpyzombie,0,0,-1
darkhorse,bark the shark,astumpycow,astumpyzombie,0,0,-1
ryhomiusmaximus,scaryman,madrush21,eggmode,1,0,2
darkhorse,bark the shark,madrush21,eggmode,0,2,0
astumpycow,astumpyzombie,ryhomiusmaximus,scaryman,1,-1,0
heropie,near,freddy cougar,jeremy,0,2,0
janitor,onski,seantos,lloyd-black,0,2,0
heropie,near,seantos,lloyd-black,0,2,0
freddy cougar,jeremy,janitor,onski,1,0,2
heropie,near,janitor,onski,0,2,1
seantos,lloyd-black,freddy cougar,jeremy,1,0,2
wookiee,sotoh,blackf00t,blanco mano,0,2,0
dubs,freean,jackmoves,jackmoves,0,2,0
wookiee,sotoh,jackmoves,jackmoves,0,2,0
blackf00t,blanco mano,dubs,freean,1,0,2
wookiee,sotoh,dubs,freean,0,2,0
jackmoves,jackmoves,blackf00t,blanco mano,1,0,2
tmakk,shears,godspeed,elitescoringguy,0,2,0
shihman,kimimaru,taiko,k-nut,0,2,0
tmakk,shears,taiko,k-nut,0,2,1
godspeed,elitescoringguy,shihman,kimimaru,1,0,2
tmakk,shears,shihman,kimimaru,1,0,2
taiko,k-nut,godspeed,elitescoringguy,0,2,0
superboomfan,jaimehr,dubs,freean,0,2,0
shihman,kimimaru,hipstur,boomalready1,0,2,0
tacos,jimmy joe,janitor,onski,0,2,0
darkhorse,bark the shark,jason,tot,0,2,1
isai,kerokeroppi,tmakk,shears,0,2,0
wookiee,sotoh,kirbstomper,smurf,0,2,0
dext3r,mariguas,madrush21,eggmode,0,2,0
heropie,near,bon,fig,0,2,0
superboomfan,jaimehr,shihman,kimimaru,0,2,0
tacos,jimmy joe,darkhorse,bark the shark,0,2,0
isai,kerokeroppi,wookiee,sotoh,0,2,0
dext3r,mariguas,heropie,near,0,2,0
superboomfan,jaimehr,tacos,jimmy joe,0,3,0
isai,kerokeroppi,dext3r,mariguas,0,3,0
superboomfan,jaimehr,isai,kerokeroppi,0,3,2
superboomfan,jaimehr,dext3r,mariguas,1,2,3
dext3r,mariguas,superboomfan,jaimehr,1,1,3
dubs,freean,hipstur,boomalready1,0,2,1
janitor,onski,jason,tot,0,2,0
tmakk,shears,kirbstomper,smurf,0,2,1
madrush21,eggmode,bon,fig,0,2,0
heropie,near,dubs,freean,0,2,0
wookiee,sotoh,janitor,onski,0,2,1
darkhorse,bark the shark,tmakk,shears,0,2,0
shihman,kimimaru,madrush21,eggmode,0,2,1
heropie,near,wookiee,sotoh,0,3,0
darkhorse,bark the shark,shihman,kimimaru,0,3,2
tacos,jimmy joe,heropie,near,0,3,0
dext3r,mariguas,darkhorse,bark the shark,0,3,0
tacos,jimmy joe,dext3r,mariguas,1,0,3
isai,kerokeroppi,dext3r,mariguas,1,1,3
p21,c,nattybroh,boogie!,pettanko-senpai,0,2,0
freddy cougar,jeremy,blackf00t,blanco mano,1,-1,0
aces,sonicfuzz,astumpycow,astumpyzombie,0,0,-1
mortech,multiball,godspeed,elitescoringguy,0,2,0
dusttin,daniels,seantos,lloyd-black,1,-1,0
ryhomiusmaximus,scaryman,jackmoves,jackmoves,0,0,-1
handles,rhubarb,mantis toboggan,magnus combosen,0,2,0
spaff,jimbot,taiko,k-nut,1,0,1
p21,c,nattybroh,blackf00t,blanco mano,0,2,0
aces,sonicfuzz,mortech,multiball,1,0,2
seantos,lloyd-black,ryhomiusmaximus,scaryman,1,0,2
handles,rhubarb,taiko,k-nut,1,0,2
p21,c,nattybroh,mortech,multiball,0,2,0
ryhomiusmaximus,scaryman,taiko,k-nut,1,0,2
p21,c,nattybroh,taiko,k-nut,0,3,0
p21,c,nattybroh,taiko,k-nut,0,3,0
boogie!,pettanko-senpai,freddy cougar,jeremy,0,2,0
astumpycow,astumpyzombie,godspeed,elitescoringguy,1,-1,0
dusttin,daniels,jackmoves,jackmoves,0,0,-1
mantis toboggan,magnus combosen,spaff,jimbot,1,0,2
handles,rhubarb,boogie!,pettanko-senpai,0,2,0
seantos,lloyd-black,godspeed,elitescoringguy,0,2,0
aces,sonicfuzz,dusttin,daniels,0,2,0
blackf00t,blanco mano,spaff,jimbot,1,0,2
handles,rhubarb,seantos,lloyd-black,0,2,0
aces,sonicfuzz,spaff,jimbot,0,2,0
mortech,multiball,handles,rhubarb,0,2,0
ryhomiusmaximus,scaryman,aces,sonicfuzz,1,0,2
mortech,multiball,aces,sonicfuzz,0,3,0
taiko,k-nut,mortech,multiball,0,3,2
